STT,Tieu de,Gia (VND),Gia/m2 (trieu),Dien tich,Dia chi,Quan/Huyen,Thanh pho,Vi do,Kinh do,Loai BDS,Loai can ho,Phong ngu,Nha ve sinh,So tang,Huong,Noi that,Phap ly,Tien coc,Loai phi,So anh,Nguoi dang,Phong tot,Diem danh gia,Ngay dang,URL,Thoi gian crawl
11,cho thuê,25000000,0.41666666,60 m²,"Phường 8, Quận 5, Tp Hồ Chí Minh",Quận 5,Tp Hồ Chí Minh,10.756033,106.671135,Nhà ở,,4,5,3,Đông,3.0,1.0,50000000.0,[],3,Phạm Ánh Lan,,5.0,2026-09-17 12:38:51,https://nha.chotot.com/tin/178836750,2026-09-17T07:30:06.662171
12,cho thuê nhà 2 tầng đường phan thanh sát đại học duy tân,11000000,0.22,50 m²,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",Quận Thanh Khê,Đà Nẵng,16.063013,108.208755,Nhà ở,,3,3,2,,1.0,,,[],10,Đại tuấn,,,2026-09-17 14:29:11,https://nha.chotot.com/tin/178839312,2026-09-17T07:30:06.662347
13,Nhà riêng ngõ 31 phố mai động gần đền lừ dt40m2x4t giá 10tr,10000000,0.25,40 m²,"Phường Mai Động, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Hà Nội,20.988625,105.86115,Nhà ở,,4,3,4,Đông,2.0,1.0,10000000.0,[],6,phạm minh chính,,,2026-09-10 10:59:00,https://nha.chotot.com/tin/178378145,2026-09-17T07:30:06.662528
14,bán nhà mặt tiền kinh doanh đường Trương Vĩnh Nguyên,5600000000,19.928825,281 m²,"Phường Phú Thứ, Quận Cái Răng, Cần Thơ",Quận Cái Răng,Cần Thơ,9.982768,105.78676,Nhà ở,,1,2,1,Đông Bắc,3.0,1.0,,[],5,Nguyen Tien Tai,,,2026-09-16 14:28:22,https://nha.chotot.com/tin/178149394,2026-09-17T07:30:06.662721
15,💥CHDV - FUL NT - 2PN - BALCONY THOÁNG ⚡️ PHAN ĐĂNG LƯU - BÙI ĐÌNH TUÝ 💥,7800000,0.111428574,70 m²,"Phường 1, Quận Bình Thạnh, Tp Hồ Chí Minh",Quận Bình Thạnh,Tp Hồ Chí Minh,10.802451,106.697495,Căn hộ/Chung cư,2.0,2,,,,,,,[],12,Lương Thanh Trúc,,,2026-09-12 21:54:42,https://nha.chotot.com/tin/178437508,2026-09-17T07:30:06.663122
16,"💥 HÀ ĐÔ CENTROSA – 2PN 2WC – NHÀ ĐẸP, FULL NỘI THẤT – Ở LIỀN CHỈ 22TR",22000000,0.25581396,86 m²,"Phường 12, Quận 10, Tp Hồ Chí Minh",Quận 10,Tp Hồ Chí Minh,10.7762,106.67889,Căn hộ/Chung cư,1.0,2,2,,,,,,[],12,Hoàng Dung,,4.5,2026-09-17 11:07:05,https://nha.chotot.com/tin/178834497,2026-09-17T07:30:06.663320
17,KHAI TRƯƠNG PHÒNG MỚI CÓ BẢO VỆ - LỄ TÂN - HẦM XE - BÌNH THẠNH,6500000,0.203125,32 m²,"Phường 7, Quận Bình Thạnh, Tp Hồ Chí Minh",Quận Bình Thạnh,Tp Hồ Chí Minh,10.809566,106.692924,Phòng trọ,,,,,,,,,[],12,Hoàng Anh Victory Home,,5.0,2026-09-13 08:59:36,https://nha.chotot.com/tin/176917252,2026-09-17T07:30:06.663511
18,Bán đất khu Việt Kiều - Củ Chi,4000000000,14.513788,275.6 m²,"Xã Tân Thông Hội, Huyện Củ Chi, Tp Hồ Chí Minh",Huyện Củ Chi,Tp Hồ Chí Minh,10.964226,106.506134,Văn phòng/Mặt bằng,,,,,,,1.0,,[],3,Tên chưa cung cấp,,,2026-09-17 14:28:42,https://nha.chotot.com/tin/178215800,2026-09-17T07:30:06.663819
19,CHO THUÊ STUDIO BAN CÔNG CỬA SỔ FULL NỘI THẤT NGAY TRUNG TÂM QUẬN 1,5700000,0.16285715,35 m²,"Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",Quận 1,Tp Hồ Chí Minh,10.771173,106.69665,Phòng trọ,,,,,,,,,[],12,Mie Unite Group,,,2026-09-17 14:28:34,https://nha.chotot.com/tin/177897041,2026-09-17T07:30:06.663995
20,"Bán biệt thự 2 lầu áp mái P. Thạnh Mỹ Tây, TP.HCM giá 43 tỷ",43000000000,511.90475,84 m²,"Phường 12, Quận 3, Tp Hồ Chí Minh",Quận 3,Tp Hồ Chí Minh,10.789393,106.675064,Nhà ở,,1,,,,,,,[],3,vũ thành,,,2026-09-17 14:28:31,https://nha.chotot.com/tin/178839248,2026-09-17T07:30:06.664190
21,KHAI TRƯƠNG ĐUPLEX 3🍠X ĐƯỜNG SỐ 1_NGUYỄN THỊ TÚ NHẬN XE ĐIỆN FULL NT,3700000,0.13214286,28 m²,"Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",Quận Bình Tân,Tp Hồ Chí Minh,10.807803,106.59462,Căn hộ/Chung cư,3.0,1,1,,,2.0,4.0,1000000.0,[],11,Triệu an HiFriendz Tp ,,5.0,2026-09-17 14:29:46,https://nha.chotot.com/tin/178839353,2026-09-17T07:30:07.927089
22,"Chung cư Tecco Green - Phan Văn Hớn căn 2p ngủ , full NT, giá 7,3tr/th",7300000,0.1,73 m²,"Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",Quận 12,Tp Hồ Chí Minh,10.82954,106.61561,Căn hộ/Chung cư,1.0,2,2,,,2.0,6.0,,[],6,Phí Linh,,,2026-09-17 14:29:29,https://nha.chotot.com/tin/178839257,2026-09-17T07:30:07.927643
23,💥CHDV - FUL NT - 2PN - BALCONY THOÁNG ⚡️ PHAN ĐĂNG LƯU - BÙI ĐÌNH TUÝ 💥,7800000,0.111428574,70 m²,"Phường 1, Quận Bình Thạnh, Tp Hồ Chí Minh",Quận Bình Thạnh,Tp Hồ Chí Minh,10.802451,106.697495,Căn hộ/Chung cư,2.0,2,,,,,,,[],12,Lương Thanh Trúc,,,2026-09-12 21:54:42,https://nha.chotot.com/tin/178437508,2026-09-17T07:30:07.928006
24,"💥 HÀ ĐÔ CENTROSA – 2PN 2WC – NHÀ ĐẸP, FULL NỘI THẤT – Ở LIỀN CHỈ 22TR",22000000,0.25581396,86 m²,"Phường 12, Quận 10, Tp Hồ Chí Minh",Quận 10,Tp Hồ Chí Minh,10.7762,106.67889,Căn hộ/Chung cư,1.0,2,2,,,,,,[],12,Hoàng Dung,,4.5,2026-09-17 11:07:05,https://nha.chotot.com/tin/178834497,2026-09-17T07:30:07.928295
25,"CĂN HỘ MINI CAO CẤP MỚI 100%, FULL NỘI THẤT NGAY ẺMART PHAN HUY ÍCH",5000000,0.2,25 m²,"Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh",Quận Gò Vấp,Tp Hồ Chí Minh,10.837349,106.636284,Căn hộ/Chung cư,2.0,1,1,,,1.0,4.0,5000000.0,[],12,Alo Ngoc Hoang,,5.0,2026-09-17 14:28:24,https://nha.chotot.com/tin/178839301,2026-09-17T07:30:07.929011
26,TÌM NỮ Ở GHÉP CĂN CHUNG CƯ 2PN,4500000,0.071428575,63 m²,"Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",Quận 7,Tp Hồ Chí Minh,10.722,106.7433,Căn hộ/Chung cư,1.0,2,2,,,2.0,4.0,4500000.0,[],7,Kim Thanh,,5.0,2026-09-17 14:28:16,https://nha.chotot.com/tin/178839296,2026-09-17T07:30:07.929305
27,Khách Cần Tiền Ra Di Căn 2PN Hiyori Siêu Mới,5200000000,83.870964,62 m²,"Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",Quận Sơn Trà,Đà Nẵng,16.06191,108.23652,Căn hộ/Chung cư,1.0,2,2,,,1.0,2.0,,[],11,Hồng Công,,,2026-09-17 14:26:46,https://nha.chotot.com/tin/171220229,2026-09-17T07:30:07.929608
28,⭐ RIVER PANORAMA CHO THUÊ 3PN2WC FULL NỘI THẤT VIEW ĐẸP CHỈ 19 TRIỆU,19000000,0.21111111,90 m²,"Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",Quận 7,Tp Hồ Chí Minh,10.71422,106.73743,Căn hộ/Chung cư,1.0,3,2,,,2.0,6.0,,[],12,Huy,,5.0,2026-09-08 14:36:21,https://nha.chotot.com/tin/172861126,2026-09-17T07:30:07.929855
29,"THẢO ĐIỀN, QUẬN 2 🏡 CHO THUÊ CHDV CAO CẤP💘 1PN BAN CÔNG FULL NỘI THẤT",11000000,0.22,50 m²,"Phường Thảo Điền (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Thành phố Thủ Đức,Tp Hồ Chí Minh,10.803914,106.72912,Căn hộ/Chung cư,2.0,1,1,,Đông Bắc,1.0,4.0,11000000.0,[],11,Phương An Chuyên Căn Hộ Quận 2,,5.0,2026-09-11 14:06:45,https://nha.chotot.com/tin/177928071,2026-09-17T07:30:07.930161
30,CHDV FULL NỘI THẤT MỚI KENG GẦN MEGA MARKET Q12,3900000,0.156,25 m²,"Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",Quận 12,Tp Hồ Chí Minh,10.887289,106.64767,Căn hộ/Chung cư,2.0,1,1,4,,2.0,4.0,,[],10,Anh Tuấn Tìm Phòng,,5.0,2026-09-17 14:26:20,https://nha.chotot.com/tin/178839237,2026-09-17T07:30:07.930388
31,CHO THUÊ CĂN HỘ DUPLEX 2  GIƯỜNG NGỦ FULL NỘI THẤT CÓ CỬA SỔ THOÁNG,6000000,0.13333334,45 m²,"Phường 8, Thành phố Đà Lạt, Lâm Đồng",Thành phố Đà Lạt,Lâm Đồng,11.977858,108.45107,Căn hộ/Chung cư,3.0,1,1,,,,,,[],9,Quang gohome,,,2026-09-17 14:26:16,https://nha.chotot.com/tin/178839207,2026-09-17T07:30:07.930621
32,Khách Cần Tiền Bán Gấp Căn Ponte 1PN Stu View Biển Giá Cực Rẻ ,2700000000,103.84615,26 m²,"Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng",Quận Sơn Trà,Đà Nẵng,16.059008,108.23034,Căn hộ/Chung cư,1.0,1,2,,Tây,4.0,6.0,,[],6,Hồng Công,,,2026-09-17 14:26:02,https://nha.chotot.com/tin/178096332,2026-09-17T07:30:07.930810
33,Bán Căn Hộ 2PN Toà A - Masteri Rivera Đà Nẵng,5700000000,91.935486,62 m²,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Quận Hải Châu,Đà Nẵng,16.033035,108.225494,Căn hộ/Chung cư,1.0,2,2,39,Tây,2.0,6.0,,[],6,Hồng Công,,,2026-09-17 14:25:24,https://nha.chotot.com/tin/169931282,2026-09-17T07:30:07.930982
34,Căn hộ ban công Full nội thất ngay Trương Văn Bang thuận tiện qua sala,5800000,0.16571428,35 m²,"Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Thành phố Thủ Đức,Tp Hồ Chí Minh,10.774195,106.75718,Căn hộ/Chung cư,2.0,1,1,,,2.0,4.0,6000000.0,[],11,Huỳnh Châu HiFriendz ,,5.0,2026-09-05 22:57:12,https://nha.chotot.com/tin/178592369,2026-09-17T07:30:07.931181
35,"CHO THUÊ  CHUNG CƯ TẠI PHỐ TU HOÀNG, NHỔN - 58M2, 2 NGỦ, ĐỦ ĐỒ-  5TR",5000000,0.0862069,58 m²,"Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Hà Nội,21.053297,105.73126,Căn hộ/Chung cư,1.0,2,1,,,2.0,,,[],3,NGÔ THÚY,,,2026-09-17 14:24:32,https://nha.chotot.com/tin/178839180,2026-09-17T07:30:07.931375
36,"the Sun Avenue 2Pn 5,8 tỷ 65m",5800000000,89.23077,65 m²,"Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Thành phố Thủ Đức,Tp Hồ Chí Minh,10.79675,106.75218,Căn hộ/Chung cư,1.0,2,,,,,,,[],3,Nguyễn Văn Hậu,,,2026-09-16 08:47:07,https://nha.chotot.com/tin/178808741,2026-09-17T07:30:07.931646
37,"Chủ Cần Tiền Nên Bán Nhanh Căn 1PN+1  Tầng Cao View Biển, Thành Phố",4500000000,66.17647,68 m²,"Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng",Quận Sơn Trà,Đà Nẵng,16.059008,108.23034,Căn hộ/Chung cư,1.0,2,1,1,Tây Bắc,4.0,2.0,,[],6,Hồng Công,,,2026-09-17 14:24:16,https://nha.chotot.com/tin/174414504,2026-09-17T07:30:07.931832
38,Cho thuê căn hộ duplex 35m2 đầy đủ tiện nghi có dịch vụ giặt sấy free,6500000,0.18571429,35 m²,"Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",Quận 7,Tp Hồ Chí Minh,10.741573,106.71589,Căn hộ/Chung cư,2.0,1,1,,,2.0,6.0,6500000.0,[],10,Hà Dương Chuyên CHDV quận 7,,5.0,2026-09-12 14:23:26,https://nha.chotot.com/tin/178731918,2026-09-17T07:30:07.932003
39,"CHO THUÊ DUPLEX TONE TRẮNG KEM SIU XINH NGAY UFM, IUH,OU,...",4500000,0.16071428,28 m²,"Phường 13, Quận Tân Bình, Tp Hồ Chí Minh",Quận Tân Bình,Tp Hồ Chí Minh,10.804742,106.645935,Căn hộ/Chung cư,3.0,1,1,2,,,,,[],5,Ngọc Hân,,,2026-09-17 14:24:11,https://nha.chotot.com/tin/177890569,2026-09-17T07:30:07.932184
40,cho thuê phòng,3500000,0.07777778,45 m²,"Phường 5, Quận 11, Tp Hồ Chí Minh",Quận 11,Tp Hồ Chí Minh,10.76784,106.6433,Căn hộ/Chung cư,1.0,1,2,,,2.0,,3500000.0,[],4,Vy Nguyen,,,2026-09-17 14:20:34,https://nha.chotot.com/tin/178839076,2026-09-17T07:30:07.932349
41,Cần cho thuê nhà góc 2 Mặt Tiền 84A Phổ Quang P.2 Q.Tân Bình,30000000,0.3030303,99 m²,"Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",Quận Tân Bình,Tp Hồ Chí Minh,10.806851,106.668365,Nhà ở,,5,5,4,,,1.0,60000000.0,[],6,Anh Thanh,,,2026-09-17 14:29:37,https://nha.chotot.com/tin/178839329,2026-09-17T07:30:09.375700
42,Bán nhà lầu đúc kiên cố hẻm xe hơi rộng đường Dương Bá Trạc P1 Q8 ,11800000000,245.83333,48 m²,"Phường 1, Quận 8, Tp Hồ Chí Minh",Quận 8,Tp Hồ Chí Minh,10.74418,106.69049,Nhà ở,,4,4,4,Nam,2.0,1.0,,[],3,Nguyễn Thìn ,,4.4,2026-09-17 14:29:34,https://nha.chotot.com/tin/178839333,2026-09-17T07:30:09.376020
43,"Bán nhà riêng 4mx18,3m",12300000000,169.65517,72.5 m²,"Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",Quận Tân Phú,Tp Hồ Chí Minh,10.796407,106.63215,Nhà ở,,1,,,,,,,[],3,Nguyễn Võ Châu Phát,,,2026-09-16 14:28:21,https://nha.chotot.com/tin/178817793,2026-09-17T07:30:09.376246
44,cho thuê,25000000,0.41666666,60 m²,"Phường 8, Quận 5, Tp Hồ Chí Minh",Quận 5,Tp Hồ Chí Minh,10.756033,106.671135,Nhà ở,,4,5,3,Đông,3.0,1.0,50000000.0,[],3,Phạm Ánh Lan,,5.0,2026-09-17 12:38:51,https://nha.chotot.com/tin/178836750,2026-09-17T07:30:09.376443
45,cho thuê nhà 2 tầng đường phan thanh sát đại học duy tân,11000000,0.22,50 m²,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",Quận Thanh Khê,Đà Nẵng,16.063013,108.208755,Nhà ở,,3,3,2,,1.0,,,[],10,Đại tuấn,,,2026-09-17 14:29:11,https://nha.chotot.com/tin/178839312,2026-09-17T07:30:09.376713
46,Nhà riêng ngõ 31 phố mai động gần đền lừ dt40m2x4t giá 10tr,10000000,0.25,40 m²,"Phường Mai Động, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Hà Nội,20.988625,105.86115,Nhà ở,,4,3,4,Đông,2.0,1.0,10000000.0,[],6,phạm minh chính,,,2026-09-10 10:59:00,https://nha.chotot.com/tin/178378145,2026-09-17T07:30:09.376898
47,bán nhà mặt tiền kinh doanh đường Trương Vĩnh Nguyên,5600000000,19.928825,281 m²,"Phường Phú Thứ, Quận Cái Răng, Cần Thơ",Quận Cái Răng,Cần Thơ,9.982768,105.78676,Nhà ở,,1,2,1,Đông Bắc,3.0,1.0,,[],5,Nguyen Tien Tai,,,2026-09-16 14:28:22,https://nha.chotot.com/tin/178149394,2026-09-17T07:30:09.377130
48,"Bán biệt thự 2 lầu áp mái P. Thạnh Mỹ Tây, TP.HCM giá 43 tỷ",43000000000,511.90475,84 m²,"Phường 12, Quận 3, Tp Hồ Chí Minh",Quận 3,Tp Hồ Chí Minh,10.789393,106.675064,Nhà ở,,1,,,,,,,[],3,vũ thành,,,2026-09-17 14:28:31,https://nha.chotot.com/tin/178839248,2026-09-17T07:30:09.377452
49,"Bán gấp nhà 1 lầu, sân thượng, 76m2, hẻm 5m vị trí hẻm 477/ Mã Lò",6950000000,91.447365,76 m²,"Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",Quận Bình Tân,Tp Hồ Chí Minh,10.7823,106.59924,Nhà ở,,2,,2,,,,,[],3, Vương Nguyễn,,5.0,2026-09-17 14:28:31,https://nha.chotot.com/tin/178839292,2026-09-17T07:30:09.377748
50,"Bán nhà mới khu đường bàn cờ thông 6m Đường Số 28, 4,5x15m, lửng,3 lầu",9500000000,158.33333,60 m²,"Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh",Quận Gò Vấp,Tp Hồ Chí Minh,10.838439,106.6817,Nhà ở,,4,5,4,,,1.0,,[],8,TRUONG TAM,,,2026-09-17 14:28:04,https://nha.chotot.com/tin/175260106,2026-09-17T07:30:09.377919
51,Gần Trường Lý Tự Trọng GV - Hẻm Ôtô - Nhà mới xây 4 Tầng 4PN - KQH KLG,6680000000,151.81818,44 m²,"Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh",Quận Gò Vấp,Tp Hồ Chí Minh,10.847257,106.669334,Nhà ở,,4,4,4,,,1.0,,[],12,Lý Ngọc Thanh,,,2026-09-13 13:07:56,https://nha.chotot.com/tin/178748929,2026-09-17T07:30:09.378090
52,"NHÀ MỚI ĐẸP, HẺM TẢI 1T2L 4PN NGAY PHẠM VĂN ĐỒNG",14000000,0.23333333,60 m²,"Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Thành phố Thủ Đức,Tp Hồ Chí Minh,10.852818,106.75241,Nhà ở,,4,3,,,,,28000000.0,[],9,NHẤT NHÀ ĐẤT,,5.0,2026-09-11 11:23:04,https://nha.chotot.com/tin/178707503,2026-09-17T07:30:09.378256
53,🏠 CHO THUÊ NHÀ NGUYÊN CĂN LÀM VĂN PHÒNG – THỦ ĐỨC,18000000,0.12,150 m²,"Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Thành phố Thủ Đức,Tp Hồ Chí Minh,10.831532,106.757996,Nhà ở,,4,,,,,,,[],3,Đăng Quang Rental,,,2026-09-17 14:27:44,https://nha.chotot.com/tin/178478419,2026-09-17T07:30:09.378427
54,cần tiền bán gấp,5100000000,85.0,60 m²,"Phường Dĩ An, Thành phố Dĩ An, Bình Dương",Thành phố Dĩ An,Bình Dương,10.904065,106.75859,Nhà ở,,3,2,2,,2.0,1.0,,[],4,An Tam,,4.0,2026-09-17 14:27:32,https://nha.chotot.com/tin/178838974,2026-09-17T07:30:09.378645
55,"🔥Cho thuê nhà gần ĐH Ngân Hàng, Thủ Đức, 80m², 3PN, chỉ 8 triệu",8000000,0.1,80 m²,"Phường Linh Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Thành phố Thủ Đức,Tp Hồ Chí Minh,10.854226,106.76946,Nhà ở,,3,,,,,,,[],5,Đăng Quang Rental,,,2026-09-17 14:27:19,https://nha.chotot.com/tin/178378958,2026-09-17T07:30:09.378808
56,💐 nhà cho thuê hương lộ 2. Phường Bình Trị Đông A Bình Tân,13000000,0.203125,64 m²,"Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",Quận Bình Tân,Tp Hồ Chí Minh,10.766734,106.60688,Nhà ở,,5,3,,,,,,[],6,MS Tánh Chuyên Mua Bán Cho Thuê Nhà Quận  Bình Tân,,,2026-09-17 14:27:15,https://nha.chotot.com/tin/178829961,2026-09-17T07:30:09.379042
57,"Bán Nhà Đẹp Đường Lý Tuệ, Tân Phú, DT 4,2 x 13m, 2Tầng, 3PN, 2WC. ",4900000000,89.74392,54.5998 m²,"Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",Quận Tân Phú,Tp Hồ Chí Minh,10.7982025,106.62133,Nhà ở,,3,2,2,,3.0,1.0,,[],7,Tuấn Nhà Phố ,,,2026-09-09 15:26:20,https://nha.chotot.com/tin/177170637,2026-09-17T07:30:09.379217
58,CHO THUÊ NHÀ Q6 – CÓ BAN CÔNG – GẦN CHỢ MINH PHỤNG,9900000,0.17678571,56 m²,"Phường 7, Quận 6, Tp Hồ Chí Minh",Quận 6,Tp Hồ Chí Minh,10.740315,106.643776,Nhà ở,,2,,2,,2.0,1.0,9900000.0,[],5,Ming sài gòn,,,2026-09-17 14:26:59,https://nha.chotot.com/tin/178839162,2026-09-17T07:30:09.379380
59,"💥 Nhà Trường Thọ, Thủ Đức, 80m², gần Metro, ĐH SPKT, chỉ 7,5 triệu",7500000,0.09375,80 m²,"Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Thành phố Thủ Đức,Tp Hồ Chí Minh,10.838916,106.75297,Nhà ở,,2,,,,,,,[],3,Đăng Quang Rental,,,2026-09-17 14:26:58,https://nha.chotot.com/tin/178334860,2026-09-17T07:30:09.379557
60,Nhà mới xây Thống Nhất 5x6m 1 lầu 2pn,7000000,0.23333333,30 m²,"Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh",Quận Gò Vấp,Tp Hồ Chí Minh,10.832626,106.66401,Nhà ở,,2,,,,,,,[],5,trần đức,,3.7,2026-09-17 14:26:54,https://nha.chotot.com/tin/178839246,2026-09-17T07:30:09.379738
61,CHO THUÊ HẺM NGUYỄN VĂN TRỖI TÂN BÌNH | 12x15m siêu rộng,58000000,0.58,100 m²,"Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",Quận Tân Bình,Tp Hồ Chí Minh,10.798557,106.67042,Đất,,,,,,,,116000000.0,[],8,Dung tr,,,2026-09-17 14:29:35,https://nha.chotot.com/tin/178839347,2026-09-17T07:30:10.711331
